"","partitioning","price","rooms_count","useful_surface","built_surface","bathrooms_count","price_range"
"2170","circular",97000,2,61,77,1,"mediu"
"2171","decomandat",127500,3,71,93,2,"mediu"
"2172","decomandat",78700,3,92,92,2,"mediu"
"2174","decomandat",94990,3,73,82,1,"mediu"
"2175","decomandat",405000,3,101,122,2,"mare"
"2176","semidecomandat",71500,3,71,71,1,"mediu"
"2177","decomandat",438000,4,171,203,4,"mare"
"2178","semidecomandat",86000,1,48,61,1,"mediu"
"2179","decomandat",750000,4,177,250,3,"mare"
"2180","decomandat",79000,2,73,74,1,"mediu"
"2181","decomandat",359000,4,173,250,3,"mare"
"2182","decomandat",65800,2,63,77,1,"mediu"
"2183","decomandat",95520,2,58,72,1,"mediu"
"2184","decomandat",158820,3,78,93,2,"mare"
"2185","decomandat",127110,2,48,67,1,"mediu"
"2186","decomandat",82000,2,61,61,1,"mediu"
"2187","decomandat",99900,3,77,109,1,"mediu"
"2188","semidecomandat",280500,3,92,115,2,"mare"
"2189","semidecomandat",53900,2,50,50,1,"mic"
"2190","decomandat",39400,1,36,45,1,"mic"
"2191","decomandat",92308,2,58,65,1,"mediu"
"2192","nedecomandat",116500,2,58,100,2,"mediu"
"2193","decomandat",131000,3,103,126,2,"mediu"
"2194","decomandat",49990,2,44,50,1,"mic"
"2195","decomandat",485000,4,150,250,4,"mare"
"2196","semidecomandat",167500,4,97,121,2,"mare"
"2197","decomandat",329900,4,125,160,3,"mare"
"2198","semidecomandat",115000,4,77,81,2,"mediu"
"2200","decomandat",125000,2,61,64,1,"mediu"
"2201","semidecomandat",67000,3,78,90,1,"mediu"
"2202","semidecomandat",68500,2,44,49,1,"mediu"
"2203","decomandat",149900,4,108,130,2,"mare"
"2204","semidecomandat",122000,2,55,67,1,"mediu"
"2205","decomandat",159750,2,68,74,1,"mare"
"2206","semidecomandat",82300,2,57,69,1,"mediu"
"2207","decomandat",148750,4,82,93,2,"mare"
"2208","decomandat",103700,2,63,75,1,"mediu"
"2209","semidecomandat",169360,3,64,89,2,"mare"
"2210","semidecomandat",235000,3,127,180,3,"mare"
"2211","decomandat",94600,2,57,68,1,"mediu"
"2212","decomandat",75000,1,31,31,1,"mediu"
"2213","decomandat",78800,2,47,57,1,"mediu"
"2214","decomandat",28900,1,31,33,1,"mic"
"2215","semidecomandat",138000,3,78,83,2,"mediu"
"2216","semidecomandat",75000,2,50,60,1,"mediu"
"2217","decomandat",29900,1,30,30,1,"mic"
"2219","decomandat",235500,3,94,110,3,"mare"
"2220","decomandat",119900,3,107,127,3,"mediu"
"2221","semidecomandat",101899,2,103,128,1,"mediu"
"2222","semidecomandat",87000,3,78,78,1,"mediu"
"2223","semidecomandat",60000,2,51,60,1,"mic"
"2224","decomandat",98000,2,54,65,1,"mediu"
